# Residuals     
# Time          	p               	sigmaxx         	sigmaxy         	sigmayy         	sigmazz         
0.81            	1.34682061e-01	6.81663315e-03	5.84091657e-03	9.28395339e-03	0.00000000e+00
0.815           	1.22518069e-01	6.78584591e-03	5.81971585e-03	6.50264006e-03	0.00000000e+00
0.82            	1.94051627e-01	6.75510759e-03	5.79874238e-03	7.40243446e-03	0.00000000e+00
0.825           	1.97232427e-01	6.72476550e-03	5.77792498e-03	7.67627227e-03	0.00000000e+00
0.83            	7.71552532e-01	6.69481359e-03	5.75740942e-03	8.48333206e-03	0.00000000e+00
0.835           	4.06508479e-01	6.66524545e-03	5.73715147e-03	7.68983799e-03	0.00000000e+00
0.84            	1.37346402e-01	6.63605428e-03	5.71713314e-03	5.93839061e-03	0.00000000e+00
0.845           	3.58123807e-01	6.60723303e-03	5.69734535e-03	5.73346222e-03	0.00000000e+00
0.85            	1.81771972e-01	6.57877496e-03	5.67778181e-03	7.33690740e-03	0.00000000e+00
0.855           	2.13756292e-01	6.55067334e-03	5.65843739e-03	7.03708307e-03	0.00000000e+00
0.86            	5.26209577e-01	6.52292203e-03	5.63930777e-03	7.41011426e-03	0.00000000e+00
0.865           	1.42757409e-01	6.49545500e-03	5.62038810e-03	7.21472124e-03	0.00000000e+00
0.87            	1.17963749e-01	6.46837240e-03	5.60167447e-03	6.42522622e-03	0.00000000e+00
0.875           	1.95849821e-01	6.44163658e-03	5.58316235e-03	5.88451915e-03	0.00000000e+00
0.88            	3.10186017e-01	6.41523067e-03	5.56484808e-03	6.15964376e-03	0.00000000e+00
0.885           	3.67629166e-01	6.38914572e-03	5.54672725e-03	7.01017733e-03	0.00000000e+00
0.89            	1.10714046e-01	6.36337541e-03	5.52883720e-03	6.39911294e-03	0.00000000e+00
0.895           	4.90594084e-01	6.33791365e-03	5.51110332e-03	6.46804733e-03	0.00000000e+00
0.9             	2.61354728e-01	6.31275429e-03	5.49354146e-03	6.49033221e-03	0.00000000e+00
0.905           	1.34244635e-01	6.28789221e-03	5.47618667e-03	5.59701360e-03	0.00000000e+00
0.91            	6.85971234e-01	6.26332271e-03	5.45898260e-03	5.83056031e-03	0.00000000e+00
0.915           	6.57080885e-01	6.23903983e-03	5.44175272e-03	5.77151265e-03	0.00000000e+00
0.92            	1.52615651e-01	6.21503847e-03	5.42463086e-03	6.68898031e-03	0.00000000e+00
0.925           	2.21616995e-01	6.19131362e-03	5.40767620e-03	7.02842849e-03	0.00000000e+00
0.93            	1.52819191e-01	6.16785861e-03	5.39076509e-03	6.06907762e-03	0.00000000e+00
0.935           	2.75330063e-01	6.14471683e-03	5.37410197e-03	6.66764650e-03	0.00000000e+00
0.94            	2.96197756e-01	6.12183812e-03	5.35762586e-03	6.52817126e-03	0.00000000e+00
0.945           	1.14737236e-01	6.09917424e-03	5.34131427e-03	5.17339728e-03	0.00000000e+00
0.95            	1.35653781e-01	6.07675068e-03	5.32514034e-03	5.84051346e-03	0.00000000e+00
0.955           	1.74201100e-01	6.05457203e-03	5.30889494e-03	4.98313532e-03	0.00000000e+00
0.96            	1.16102537e-01	6.03250362e-03	5.29279889e-03	4.86004885e-03	0.00000000e+00
0.965           	1.89540075e-01	6.01078176e-03	5.27684906e-03	5.31257391e-03	0.00000000e+00
0.97            	4.14664500e-01	5.98933156e-03	5.26104247e-03	6.66873238e-03	0.00000000e+00
0.975           	2.80445757e-01	5.96812580e-03	5.24542264e-03	5.02567097e-03	0.00000000e+00
0.98            	3.46198864e-01	5.94715294e-03	5.22990760e-03	3.88352672e-03	0.00000000e+00
0.985           	1.90744865e-01	5.92640626e-03	5.21451695e-03	5.13362405e-03	0.00000000e+00
0.99            	1.95579237e-01	5.90588083e-03	5.19929089e-03	4.12109166e-03	0.00000000e+00
0.995           	5.79531321e-01	5.88557346e-03	5.18416816e-03	5.74657815e-03	0.00000000e+00
1               	6.14879178e-01	5.86551099e-03	5.16916399e-03	5.38857715e-03	0.00000000e+00
1.005           	7.36521362e-01	5.84531450e-03	5.15428209e-03	5.19877878e-03	0.00000000e+00
1.01            	2.26054982e-01	5.82531601e-03	5.13952192e-03	3.94850934e-03	0.00000000e+00
1.015           	1.79428210e-01	5.80552091e-03	5.12490623e-03	4.04608823e-03	0.00000000e+00
1.02            	2.84512827e-01	5.78599493e-03	5.11039097e-03	6.18683224e-03	0.00000000e+00
1.025           	1.97193908e-01	5.76661637e-03	5.09598599e-03	3.94882109e-03	0.00000000e+00
1.03            	6.86051093e-01	5.74741727e-03	5.08169276e-03	5.35666431e-03	0.00000000e+00
1.035           	4.95603841e-01	5.72840649e-03	5.06751032e-03	5.55013962e-03	0.00000000e+00
1.04            	4.58853608e-01	5.70934184e-03	5.05343732e-03	3.16038301e-03	0.00000000e+00
1.045           	1.39662924e-01	5.69039994e-03	5.03947169e-03	4.99203521e-03	0.00000000e+00
1.05            	1.83572217e-01	5.67164613e-03	5.02561147e-03	4.07308961e-03	0.00000000e+00
1.055           	2.69996448e-01	5.65307719e-03	5.01185464e-03	3.56248664e-03	0.00000000e+00
1.06            	1.45466146e-01	5.63469017e-03	4.99819948e-03	3.25077629e-03	0.00000000e+00
1.065           	5.02397139e-01	5.61648199e-03	4.98464383e-03	3.81236988e-03	0.00000000e+00
1.07            	1.24300093e-01	5.59844907e-03	4.97109182e-03	3.19706589e-03	0.00000000e+00
1.075           	1.29178171e-01	5.58058834e-03	4.95770238e-03	3.38963286e-03	0.00000000e+00
1.08            	3.69765498e-01	5.56291845e-03	4.94442897e-03	3.91841367e-03	0.00000000e+00
1.085           	2.77712090e-01	5.54540043e-03	4.93129532e-03	1.97050582e-03	0.00000000e+00
