time,field,initial,final
1.0,epsilon,0.152858,0.00700914
2.0,epsilon,0.16799,0.00888452
3.0,epsilon,0.0909695,0.00486663
4.0,epsilon,0.0669179,0.00445219
5.0,epsilon,0.054839,0.00424024
6.0,epsilon,0.0492565,0.00402782
7.0,epsilon,0.0438113,0.00428699
8.0,epsilon,0.0366476,0.000847835
9.0,epsilon,0.0291861,0.000805922
10.0,epsilon,0.0257804,0.000767294
11.0,epsilon,0.0251035,0.000761978
12.0,epsilon,0.0251361,0.000751114
13.0,epsilon,0.023932,0.000692362
14.0,epsilon,0.0218789,0.000610682
15.0,epsilon,0.0205244,0.000552386
16.0,epsilon,0.0194887,0.000525159
17.0,epsilon,0.0190439,0.000511751
18.0,epsilon,0.018295,0.00048233
19.0,epsilon,0.0172559,0.000445923
20.0,epsilon,0.016162,0.000410918
21.0,epsilon,0.0152088,0.000381237
22.0,epsilon,0.0142678,0.000356399
23.0,epsilon,0.0133738,0.000332465
24.0,epsilon,0.0127304,0.000309864
25.0,epsilon,0.0121356,0.000290325
26.0,epsilon,0.011633,0.000276268
27.0,epsilon,0.01109,0.000261227
28.0,epsilon,0.0105979,0.000243689
29.0,epsilon,0.0101684,0.000224983
30.0,epsilon,0.0098364,0.000207577
31.0,epsilon,0.00963005,0.000194997
32.0,epsilon,0.00943348,0.000184467
33.0,epsilon,0.00928121,0.000174515
34.0,epsilon,0.00917745,0.000163986
35.0,epsilon,0.00916174,0.000152352
36.0,epsilon,0.00911799,0.000143558
37.0,epsilon,0.00899773,0.000138733
38.0,epsilon,0.00882845,0.000137295
39.0,epsilon,0.00864263,0.000135979
40.0,epsilon,0.00842871,0.000132942
41.0,epsilon,0.00816203,0.000127398
42.0,epsilon,0.0081404,0.000121705
43.0,epsilon,0.00822405,0.000813271
44.0,epsilon,0.0086297,0.000859885
45.0,epsilon,0.00886786,0.000130594
46.0,epsilon,0.00868796,0.000854567
47.0,epsilon,0.00867367,0.000131243
48.0,epsilon,0.0081741,0.000126043
49.0,epsilon,0.00784705,0.000124479
50.0,epsilon,0.00765248,0.000123757
51.0,epsilon,0.00743329,0.00012148
52.0,epsilon,0.00716896,0.00011782
53.0,epsilon,0.00686376,0.000113203
54.0,epsilon,0.00662832,0.000109472
55.0,epsilon,0.00640574,0.000105515
56.0,epsilon,0.00620141,0.000100971
57.0,epsilon,0.00606985,9.57748e-05
58.0,epsilon,0.00595772,0.000584968
59.0,epsilon,0.00609309,0.000592644
60.0,epsilon,0.00623804,0.00059458
61.0,epsilon,0.00638078,0.000596236
62.0,epsilon,0.00648362,0.000603901
63.0,epsilon,0.00658775,0.00061357
64.0,epsilon,0.0067064,0.000624223
65.0,epsilon,0.00678664,0.000630607
66.0,epsilon,0.00673504,0.000631883
67.0,epsilon,0.00671474,0.000632277
68.0,epsilon,0.00666779,0.000628542
69.0,epsilon,0.00648525,0.00061577
70.0,epsilon,0.00627623,0.000599215
71.0,epsilon,0.00619888,0.000586296
72.0,epsilon,0.00622445,0.000577415
73.0,epsilon,0.00629184,0.000574908
74.0,epsilon,0.00631013,0.000577785
75.0,epsilon,0.00633134,0.000579612
76.0,epsilon,0.0063252,0.000569731
77.0,epsilon,0.00623493,0.000553533
78.0,epsilon,0.00612717,0.000539521
79.0,epsilon,0.00599115,0.000528879
80.0,epsilon,0.00589747,0.000522859
81.0,epsilon,0.00572957,0.000513725
82.0,epsilon,0.00562061,0.000502351
83.0,epsilon,0.00553351,0.000501584
84.0,epsilon,0.00549478,0.000508376
85.0,epsilon,0.0054508,0.00050992
86.0,epsilon,0.00539851,0.000497933
87.0,epsilon,0.0052641,0.000473067
88.0,epsilon,0.00506919,0.000446674
89.0,epsilon,0.00486108,0.000424322
90.0,epsilon,0.00470001,0.000410646
91.0,epsilon,0.00463922,0.000410467
92.0,epsilon,0.00465386,0.000415437
93.0,epsilon,0.0047009,0.000421434
94.0,epsilon,0.00472905,0.000427006
95.0,epsilon,0.00477539,0.000432408
96.0,epsilon,0.00483552,0.000437285
97.0,epsilon,0.00500723,0.00044101
98.0,epsilon,0.00527843,0.000447166
99.0,epsilon,0.00558394,0.000454877
100.0,epsilon,0.00583821,0.000459071
