time_min,original_TskMean,original_TskHead,original_TskChest,original_TskLFoot,original_TcrChest,embedded_TskMean,embedded_TskHead,embedded_TskChest,embedded_TskLFoot,embedded_TcrChest,coupled_zero_flux_TskMean,coupled_zero_flux_TskHead,coupled_zero_flux_TskChest,coupled_zero_flux_TskLFoot,coupled_zero_flux_TcrChest
33.0,34.45029491661238,34.0361220553613,34.960535292155555,35.47328401097994,36.82529270079233,34.45029491661238,34.0361220553613,34.960535292155555,35.47328401097994,36.82529270079233,34.45029491661238,34.0361220553613,34.960535292155555,35.47328401097994,36.82529270079233
34.0,34.29239922364055,33.860593700200674,34.8161933152144,35.37510228230804,36.81612278011393,34.29239922364055,33.860593700200674,34.8161933152144,35.37510228230804,36.81612278011393,34.29239922364055,33.860593700200674,34.8161933152144,35.37510228230804,36.81612278011393
35.0,34.154039564617925,33.70584194585331,34.679892709142386,35.27744443476317,36.8066244201335,34.154039564617925,33.70584194585331,34.679892709142386,35.27744443476317,36.8066244201335,34.154039564617925,33.70584194585331,34.679892709142386,35.27744443476317,36.8066244201335
36.0,34.031924660866885,33.56690030745707,34.55216598050338,35.18155469863207,36.79694037269138,34.031924660866885,33.56690030745707,34.55216598050338,35.18155469863207,36.79694037269138,34.031924660866885,33.56690030745707,34.55216598050338,35.18155469863207,36.79694037269138
37.0,33.92334572772011,33.4411123342601,34.433044748501985,35.08741259730039,36.78715119789644,33.92334572772011,33.4411123342601,34.433044748501985,35.08741259730039,36.78715119789644,33.92334572772011,33.4411123342601,34.433044748501985,35.08741259730039,36.78715119789644
38.0,33.82517505671596,33.326884459474584,34.32232333369184,34.99470089342571,36.77743396072614,33.82517505671596,33.326884459474584,34.32232333369184,34.99470089342571,36.77743396072614,33.82517505671596,33.326884459474584,34.32232333369184,34.99470089342571,36.77743396072614
39.0,33.73548087935169,33.22298395436364,34.21952571406424,34.90298353719494,36.76790964374366,33.73548087935169,33.22298395436364,34.21952571406424,34.90298353719494,36.76790964374366,33.73548087935169,33.22298395436364,34.21952571406424,34.90298353719494,36.76790964374366
40.0,33.65301731766319,33.1284350182595,34.12412046763755,34.81191326954428,36.758637304384365,33.65301731766319,33.1284350182595,34.12412046763755,34.81191326954428,36.758637304384365,33.65301731766319,33.1284350182595,34.12412046763755,34.81191326954428,36.758637304384365
41.0,33.57679819488812,33.042431694602044,34.035593945524916,34.7212387370135,36.74965018584464,33.57679819488812,33.042431694602044,34.035593945524916,34.7212387370135,36.74965018584464,33.57679819488812,33.042431694602044,34.035593945524916,34.7212387370135,36.74965018584464
42.0,33.50602241304755,32.964264491561885,33.9534539023898,34.630765367636464,36.740968512664,33.50602241304755,32.964264491561885,33.9534539023898,34.630765367636464,36.740968512664,33.50602241304755,32.964264491561885,33.9534539023898,34.630765367636464,36.740968512664
43.0,33.44003049760273,32.89328855603926,33.87723228354206,34.54033467996447,36.732604175266424,33.44003049760273,32.89328855603926,33.87723228354206,34.54033467996447,36.732604175266424,33.44003049760273,32.89328855603926,33.87723228354206,34.54033467996447,36.732604175266424
44.0,33.37827332094059,32.82890960778347,33.80648743377429,34.44981307926468,36.72456304626567,33.37827332094059,32.82890960778347,33.80648743377429,34.44981307926468,36.72456304626567,33.37827332094059,32.82890960778347,33.80648743377429,34.44981307926468,36.72456304626567
45.0,33.32029006740233,32.77058786065097,33.74080549378609,34.35908541973442,36.71684803893045,33.32029006740233,32.77058786065097,33.74080549378609,34.35908541973442,36.71684803893045,33.32029006740233,32.77058786065097,33.74080549378609,34.35908541973442,36.71684803893045
46.0,33.26568968701497,32.7178207993793,33.679800539473234,34.26805158007325,36.709457841419464,33.26568968701497,32.7178207993793,33.679800539473234,34.26805158007325,36.709457841419464,33.26568968701497,32.7178207993793,33.679800539473234,34.26805158007325,36.709457841419464
47.0,33.214137072740044,32.67013853280048,33.62311401508992,34.17662258345992,36.70238827019642,33.214137072740044,32.67013853280048,33.62311401508992,34.17662258345992,36.70238827019642,33.214137072740044,32.67013853280048,33.62311401508992,34.17662258345992,36.70238827019642
48.0,33.165344048523096,32.62711484447712,33.57041392731128,34.08471859346774,36.6956348316719,33.165344048523096,32.62711484447712,33.57041392731128,34.08471859346774,36.6956348316719,33.165344048523096,32.62711484447712,33.57041392731128,34.08471859346774,36.6956348316719
49.0,33.11906072900555,32.58835591153274,33.52139352202352,33.992268369913546,36.68919105713394,33.11906072900555,32.58835591153274,33.52139352202352,33.992268369913546,36.68919105713394,33.11906072900555,32.58835591153274,33.52139352202352,33.992268369913546,36.68919105713394
