time_s,flow_m3_s,pressure_Pa
2.394803760752153288e-01,1.941013911721730669e-04,2.700985900903163129e+05
2.402454890978198421e-01,1.902412882136005111e-04,2.700935552155948826e+05
2.410106021204243554e-01,1.859905533187685702e-04,2.700880845923373709e+05
2.417757151430288687e-01,1.812987520836469718e-04,2.700821678576839040e+05
2.425408281656333820e-01,1.761224798924167581e-04,2.700759933537020697e+05
2.433059411882378953e-01,1.704917946697726580e-04,2.700701326679408667e+05
2.440710542108424086e-01,1.644805015639613950e-04,2.700646155148296384e+05
2.448361672334469219e-01,1.581629871768625202e-04,2.700594348845560453e+05
2.456012802560514352e-01,1.516136381103555845e-04,2.700545846055694274e+05
2.463663932786559485e-01,1.449068409663200848e-04,2.700500593445810955e+05
2.471315063012604618e-01,1.381169823466355450e-04,2.700458546065640403e+05
2.478966193238649751e-01,1.313184488531814621e-04,2.700419667347532813e+05
2.486617323464694884e-01,1.245856270878374411e-04,2.700383929106456926e+05
2.494268453690740017e-01,1.179854778115653951e-04,2.700348830391981173e+05
2.501919583916785150e-01,1.114678058660739131e-04,2.700303658247482381e+05
2.509570714142830283e-01,1.048890348668487659e-04,2.700247276774540660e+05
2.517221844368875416e-01,9.810299434108018060e-05,2.700180124752472620e+05
2.524872974594920549e-01,9.096351381595828962e-05,2.700101935875287745e+05
2.532524104820965682e-01,8.332442281867327943e-05,2.700012406683772570e+05
2.540175235047010815e-01,7.504828226632727242e-05,2.699914768193659256e+05
2.547826365273055949e-01,6.620214877125689759e-05,2.699829908074334380e+05
2.555477495499101082e-01,5.705963666559423799e-05,2.699761333881927421e+05
2.563128625725146215e-01,4.790350408930902346e-05,2.699709079630763736e+05
2.570779755951191348e-01,3.901650918237102453e-05,2.699673263703552075e+05
2.578430886177236481e-01,3.064176793458102415e-05,2.699645656492761918e+05
2.586082016403281614e-01,2.282165447784798872e-05,2.699615185144235729e+05
2.593733146629326747e-01,1.553515178865833260e-05,2.699582160234713810e+05
2.601384276855371880e-01,8.761218505854865218e-06,2.699547037620446645e+05
2.609035407081417013e-01,2.478813268280390930e-06,2.699510357526068692e+05
2.616686537307462146e-01,-3.333105285222291001e-06,2.699472744544600137e+05
2.624337667533507279e-01,-8.690598510556753228e-06,2.699436032827944146e+05
2.631988797759552412e-01,-1.357638329543871840e-05,2.699402319222733495e+05
2.639639927985597545e-01,-1.795948583532410120e-05,2.699371800765314838e+05
2.647291058211642678e-01,-2.180889049433475010e-05,2.699344822359700920e+05
2.654942188437687811e-01,-2.509358163659248140e-05,2.699321712071745424e+05
2.662593318663732944e-01,-2.778254362621915711e-05,2.699302781129141222e+05
2.670244448889778077e-01,-2.984476082733659861e-05,2.699288323921423289e+05
2.677895579115823210e-01,-3.124921760406665437e-05,2.699278617999965791e+05
2.685546709341868343e-01,-3.196489832053114915e-05,2.699273924077985575e+05
2.693197839567913476e-01,-3.196078734085193820e-05,2.699274486030536355e+05
2.700848969793958609e-01,-3.120638361659471347e-05,2.699280190839881543e+05
2.708500100020003742e-01,-2.971209334640559653e-05,2.699285772712225444e+05
2.716151230246048875e-01,-2.755828913599030617e-05,2.699289513779905974e+05
2.723802360472094009e-01,-2.483220013033691272e-05,2.699291590565339429e+05
2.731453490698139142e-01,-2.162105547443347634e-05,2.699292162752785371e+05
2.739104620924184275e-01,-1.801208431326807412e-05,2.699291371915860218e+05
2.746755751150229408e-01,-1.409251579182876453e-05,2.699289172086977051e+05
2.754406881376278982e-01,-9.949579055101156420e-06,2.699285319477650337e+05
2.762058011602324115e-01,-5.670503248078173614e-06,2.699279580651611905e+05
2.769709141828369248e-01,-1.342517515745533379e-06,2.699271711279033916e+05
2.777360272054414381e-01,2.947148996908710903e-06,2.699261456136521883e+05
2.785011402280459514e-01,7.111267144896475352e-06,2.699248549107121071e+05
2.792662532506504647e-01,1.106375194181528351e-05,2.699233252295124112e+05
2.800313662732549780e-01,1.475904755147293732e-05,2.699219905157251633e+05
2.807964792958594913e-01,1.820206938070871084e-05,2.699209270727302064e+05
2.815615923184640046e-01,2.140089546135031832e-05,2.699201039314065129e+05
2.823267053410685179e-01,2.436360382522548078e-05,2.699194890332769719e+05
2.830918183636730312e-01,2.709827250416191587e-05,2.699190492305079242e+05
2.838569313862775445e-01,2.961297952998733784e-05,2.699187502859095111e+05
2.846220444088820578e-01,3.191580293452946771e-05,2.699185568729355582e+05
