time,field,initial,final
75.0,Uz,0.00216983,7.83015e-05
76.0,Uz,0.00188004,6.52135e-05
77.0,Uz,0.00167306,5.14061e-05
78.0,Uz,0.00151481,3.96405e-05
79.0,Uz,0.00129894,3.18543e-05
80.0,Uz,0.00108274,2.31825e-05
81.0,Uz,0.000874751,2.03351e-05
82.0,Uz,0.000739868,1.9597e-05
83.0,Uz,0.000660816,1.71318e-05
84.0,Uz,0.000586905,1.27445e-05
85.0,Uz,0.000507076,1.04053e-05
86.0,Uz,0.000442031,9.44738e-06
87.0,Uz,0.000374162,8.0952e-06
88.0,Uz,0.000296606,6.76715e-06
89.0,Uz,0.000236242,5.97652e-06
90.0,Uz,0.000212391,4.69899e-06
91.0,Uz,0.000191586,3.82654e-06
92.0,Uz,0.000166543,3.08162e-06
93.0,Uz,0.00013009,2.5021e-06
94.0,Uz,9.51883e-05,2.24134e-06
95.0,Uz,8.47694e-05,1.88262e-06
96.0,Uz,7.91373e-05,1.69763e-06
97.0,Uz,6.67317e-05,1.30843e-06
98.0,Uz,5.43616e-05,9.66571e-07
99.0,Uz,4.71552e-05,9.79258e-07
100.0,Uz,4.15404e-05,9.63249e-07
101.0,Uz,3.70355e-05,8.63539e-07
102.0,Uz,3.3954e-05,7.40007e-07
103.0,Uz,2.88979e-05,5.58202e-07
104.0,Uz,2.576e-05,4.4522e-07
105.0,Uz,2.26477e-05,4.10738e-07
106.0,Uz,2.00431e-05,4.81812e-07
107.0,Uz,1.8508e-05,4.55092e-07
1.0,p,1.0,0.0949963
2.0,p,0.99976,0.0740408
3.0,p,0.023629,0.000879976
4.0,p,0.0643034,0.00360015
5.0,p,0.668676,0.0303052
6.0,p,0.079062,0.0058681
7.0,p,0.220393,0.0189628
8.0,p,0.46764,0.0235363
9.0,p,0.718738,0.036846
10.0,p,0.322861,0.0169333
11.0,p,0.15707,0.01044
12.0,p,0.13575,0.00922746
13.0,p,0.178237,0.0116029
14.0,p,0.218437,0.0134757
15.0,p,0.320522,0.0133775
16.0,p,0.557366,0.0171344
17.0,p,0.542815,0.0258197
18.0,p,0.53882,0.0290433
19.0,p,0.657468,0.0240577
20.0,p,0.502774,0.00887907
21.0,p,0.380366,0.0129397
22.0,p,0.351644,0.00923365
23.0,p,0.34322,0.00982536
24.0,p,0.544375,0.0133173
25.0,p,0.463961,0.0083374
